Postcode,Park,Distance,Travel_Time
5070,Anstey,11.75,16.82
5070,Morialta,6.99,11.92
5070,Belair,15.66,23.8
5070,Bowker,19.15,31.25
5070,Felixstow,2.56,5.5
5070,Lefevre,5.91,9.65
5037,Anstey,24.45,38.73
5037,Morialta,18.77,31.47
5037,Belair,13.69,24.28
5037,Bowker,7.78,13.37
5037,Felixstow,15.54,27.48
5037,Lefevre,10.66,19.12
5063,Anstey,18.14,27.4
5063,Morialta,12.18,20.08
5063,Belair,8.25,13.28
5063,Bowker,14.05,23.57
5063,Felixstow,8.95,16.08
5063,Lefevre,6.46,11.42
5067,Anstey,14.68,21.52
5067,Morialta,8.08,14.73
5067,Belair,11.63,18.58
5067,Bowker,16.09,26.2
5067,Felixstow,5.49,10.2
5067,Lefevre,4.69,8.37
5114,Anstey,16.58,17.62
5114,Morialta,28.51,33.65
5114,Belair,43.96,57.03
5114,Bowker,49.29,56.03
5114,Felixstow,27.48,32.83
5114,Lefevre,30.9,35.77
5076,Anstey,10.1,13.22
5076,Morialta,3.87,5.43
5076,Belair,23.49,33.75
5076,Bowker,26.51,41.63
5076,Felixstow,6.47,10.43
5076,Lefevre,13.27,20.02
5006,Anstey,15.92,24.93
5006,Morialta,12.9,21.83
5006,Belair,14.79,25.6
5006,Bowker,14.5,24.82
5006,Felixstow,8.47,15.42
5006,Lefevre,0.54,1.75
5074,Anstey,8.35,11.03
5074,Morialta,4.29,6.48
5074,Belair,19.05,29.03
5074,Bowker,22.54,36.48
5074,Felixstow,2.85,4.98
5074,Lefevre,9.31,14.87
5126,Anstey,3.79,6.25
5126,Morialta,16.57,22.22
5126,Belair,32.01,45.6
5126,Bowker,33.84,52.62
5126,Felixstow,15.54,21.4
5126,Lefevre,18.75,27.4
5097,Anstey,3.65,5.73
5097,Morialta,12.6,18.13
5097,Belair,28.05,41.52
5097,Bowker,29.66,47.6
5097,Felixstow,11.57,17.32
5097,Lefevre,14.56,22.4
5090,Anstey,3.3,4.9
5090,Morialta,8.76,12.95
5090,Belair,24.21,36.35
5090,Bowker,27.61,43.65
5090,Felixstow,7.73,12.15
5090,Lefevre,12.51,18.45
