postcode,place_id,distance,duration
5087,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,9.1,15.07
5087,ChIJA8JbLlhLt2oRwQltOFgMf40,9.38,14.07
5000,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,11.82,21.13
5000,ChIJA8JbLlhLt2oRwQltOFgMf40,17.78,28.45
5087,ChIJu3UpY0zRsGoRLMloCgGsIcA,19.53,30.15
5087,ChIJHc3SHVrasGoRMPi5RVU2Aw8,21.93,36.13
5087,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,4.69,7.58
5087,ChIJscH3eyHJsGoRjMLoSHcIsm4,6.84,10.93
5000,ChIJu3UpY0zRsGoRLMloCgGsIcA,10.53,19.1
5000,ChIJHc3SHVrasGoRMPi5RVU2Aw8,12.32,20.75
5000,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,8.59,17.15
5000,ChIJscH3eyHJsGoRjMLoSHcIsm4,3.35,10.98
5070,ChIJA8JbLlhLt2oRwQltOFgMf40,11.75,16.82
5070,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,6.99,11.92
5070,ChIJu3UpY0zRsGoRLMloCgGsIcA,15.66,23.8
5070,ChIJHc3SHVrasGoRMPi5RVU2Aw8,19.15,31.25
5070,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,2.56,5.5
5070,ChIJscH3eyHJsGoRjMLoSHcIsm4,5.91,9.65
5037,ChIJA8JbLlhLt2oRwQltOFgMf40,24.45,38.73
5037,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,18.77,31.47
5037,ChIJu3UpY0zRsGoRLMloCgGsIcA,13.69,24.28
5037,ChIJHc3SHVrasGoRMPi5RVU2Aw8,7.78,13.37
5037,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,15.54,27.48
5037,ChIJscH3eyHJsGoRjMLoSHcIsm4,10.66,19.12
5063,ChIJA8JbLlhLt2oRwQltOFgMf40,18.14,27.4
5063,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.18,20.08
5063,ChIJu3UpY0zRsGoRLMloCgGsIcA,8.25,13.28
5063,ChIJHc3SHVrasGoRMPi5RVU2Aw8,14.05,23.57
5063,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,8.95,16.08
5063,ChIJscH3eyHJsGoRjMLoSHcIsm4,6.46,11.42
5067,ChIJA8JbLlhLt2oRwQltOFgMf40,14.68,21.52
5067,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,8.08,14.73
5067,ChIJu3UpY0zRsGoRLMloCgGsIcA,11.63,18.58
5067,ChIJHc3SHVrasGoRMPi5RVU2Aw8,16.09,26.2
5067,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,5.49,10.2
5067,ChIJscH3eyHJsGoRjMLoSHcIsm4,4.69,8.37
5114,ChIJA8JbLlhLt2oRwQltOFgMf40,16.58,17.62
5114,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,28.51,33.65
5114,ChIJu3UpY0zRsGoRLMloCgGsIcA,43.96,57.03
5114,ChIJHc3SHVrasGoRMPi5RVU2Aw8,49.29,56.03
5114,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,27.48,32.83
5114,ChIJscH3eyHJsGoRjMLoSHcIsm4,30.9,35.77
5076,ChIJA8JbLlhLt2oRwQltOFgMf40,10.1,13.22
5076,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,3.87,5.43
5076,ChIJu3UpY0zRsGoRLMloCgGsIcA,23.49,33.75
5076,ChIJHc3SHVrasGoRMPi5RVU2Aw8,26.51,41.63
5076,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,6.47,10.43
5076,ChIJscH3eyHJsGoRjMLoSHcIsm4,13.27,20.02
5006,ChIJA8JbLlhLt2oRwQltOFgMf40,15.92,24.93
5006,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.9,21.83
5006,ChIJu3UpY0zRsGoRLMloCgGsIcA,14.79,25.6
5006,ChIJHc3SHVrasGoRMPi5RVU2Aw8,14.5,24.82
5006,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,8.47,15.42
5006,ChIJscH3eyHJsGoRjMLoSHcIsm4,0.54,1.75
5074,ChIJA8JbLlhLt2oRwQltOFgMf40,8.35,11.03
5074,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,4.29,6.48
5074,ChIJu3UpY0zRsGoRLMloCgGsIcA,19.05,29.03
5074,ChIJHc3SHVrasGoRMPi5RVU2Aw8,22.54,36.48
5074,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,2.85,4.98
5074,ChIJscH3eyHJsGoRjMLoSHcIsm4,9.31,14.87
5126,ChIJA8JbLlhLt2oRwQltOFgMf40,3.79,6.25
5126,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,16.57,22.22
5126,ChIJu3UpY0zRsGoRLMloCgGsIcA,32.01,45.6
5126,ChIJHc3SHVrasGoRMPi5RVU2Aw8,33.84,52.62
5126,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,15.54,21.4
5126,ChIJscH3eyHJsGoRjMLoSHcIsm4,18.75,27.4
5097,ChIJA8JbLlhLt2oRwQltOFgMf40,3.65,5.73
5097,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.6,18.13
5097,ChIJu3UpY0zRsGoRLMloCgGsIcA,28.05,41.52
5097,ChIJHc3SHVrasGoRMPi5RVU2Aw8,29.66,47.6
5097,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,11.57,17.32
5097,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.56,22.4
5090,ChIJA8JbLlhLt2oRwQltOFgMf40,3.3,4.9
5090,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,8.76,12.95
5090,ChIJu3UpY0zRsGoRLMloCgGsIcA,24.21,36.35
5090,ChIJHc3SHVrasGoRMPi5RVU2Aw8,27.61,43.65
5090,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,7.73,12.15
5090,ChIJscH3eyHJsGoRjMLoSHcIsm4,12.51,18.45
5125,ChIJA8JbLlhLt2oRwQltOFgMf40,8.75,12.4
5125,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,19.62,26.65
5125,ChIJu3UpY0zRsGoRLMloCgGsIcA,33.72,49.02
5125,ChIJHc3SHVrasGoRMPi5RVU2Aw8,42.16,52.08
5125,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,17.57,24.23
5125,ChIJscH3eyHJsGoRjMLoSHcIsm4,20.86,28.88
5095,ChIJA8JbLlhLt2oRwQltOFgMf40,13.35,19.0
5095,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,14.55,22.2
5095,ChIJu3UpY0zRsGoRLMloCgGsIcA,24.87,38.1
5095,ChIJHc3SHVrasGoRMPi5RVU2Aw8,29.85,36.75
5095,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.14,19.13
5095,ChIJscH3eyHJsGoRjMLoSHcIsm4,11.02,16.13
5092,ChIJA8JbLlhLt2oRwQltOFgMf40,5.63,8.97
5092,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.11,18.73
5092,ChIJu3UpY0zRsGoRLMloCgGsIcA,27.28,40.72
5092,ChIJHc3SHVrasGoRMPi5RVU2Aw8,29.51,45.78
5092,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,11.13,15.95
5092,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.42,20.58
5073,ChIJA8JbLlhLt2oRwQltOFgMf40,10.38,14.15
5073,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,1.39,3.3
5073,ChIJu3UpY0zRsGoRLMloCgGsIcA,19.3,28.27
5073,ChIJHc3SHVrasGoRMPi5RVU2Aw8,23.85,36.93
5073,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,3.97,7.35
5073,ChIJscH3eyHJsGoRjMLoSHcIsm4,10.32,16.25
5091,ChIJA8JbLlhLt2oRwQltOFgMf40,0.71,0.93
5091,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,13.14,17.17
5091,ChIJu3UpY0zRsGoRLMloCgGsIcA,28.59,40.55
5091,ChIJHc3SHVrasGoRMPi5RVU2Aw8,32.07,48.02
5091,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.11,16.35
5091,ChIJscH3eyHJsGoRjMLoSHcIsm4,16.67,23.88
5577,ChIJA8JbLlhLt2oRwQltOFgMf40,250.85,175.97
5577,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,255.98,180.88
